Address,City
    ,San Francisco
 3RD ST  ,San Francisco
 4TH ST  ,San Francisco
 535V LINDEN ST ,San Francisco
 BUSH ST  ,San Francisco
 FELL ST  ,San Francisco
 GOUGH ST  ,San Francisco
 SITUS TO BE ASSIGNED,San Francisco
 WALLER ST  ,San Francisco
1 ALADDIN TERRACE ,San Francisco
1 BUENA VISTA EAST AV,San Francisco
1 CHURCH ST  ,San Francisco
1 DANIEL BURNHAM CT ,San Francisco
1 GRANT AV  ,San Francisco
1 LORAINE CT  ,San Francisco
1 MISSION ST  ,San Francisco
1 PETER YORKE WY ,San Francisco
2 GEARY ST  ,San Francisco
2 HENRY ADAMS ST ,San Francisco
2 NORTH POINT ST ,San Francisco
2 RANKIN ST  ,San Francisco
2 SONOMA ST  ,San Francisco
2 STOCKTON ST  ,San Francisco
3 ALADDIN TERRACE ,San Francisco
3 CLARENCE PL  ,San Francisco
4 BROOKLYN PL  ,San Francisco
5 CLARENDON AV  ,San Francisco
5 HALLAM ST  ,San Francisco
5 LUCERNE ST  ,San Francisco
5VLUSK ST   ,San Francisco
7 GERKE AL  ,San Francisco
7 VANDEWATER ST  ,San Francisco
8 MCLEA CT  ,San Francisco
8 MIGUEL ST  ,San Francisco
10 BECKETT ST  ,San Francisco
10 BROOKLYN PL  ,San Francisco
11 CASTENADA AV  ,San Francisco
11 PEARL ST  ,San Francisco
12 4TH ST  ,San Francisco
12 SHERMAN ST  ,San Francisco
14 MINT PZ  ,San Francisco
15 BAKER ST  ,San Francisco
15 FELL ST  ,San Francisco
15 HUNT ST  ,San Francisco
15 LUCERNE ST  ,San Francisco
15 VANDEWATER ST  ,San Francisco
16 JESSIE ST  ,San Francisco
17 DECATUR ST  ,San Francisco
17 HANCOCK ST  ,San Francisco
17 PARKER AV  ,San Francisco
18 MIGUEL ST  ,San Francisco
19 GATEVIEW CT  ,San Francisco
19 TEHAMA ST  ,San Francisco
20 6TH ST  ,San Francisco
20 CEDAR ST  ,San Francisco
20 HERON ST  ,San Francisco
20 ROMOLO PL  ,San Francisco
21 CASTENADA AV  ,San Francisco
21 COLUMBIA SQ  ,San Francisco
21 LAFAYETTE ST  ,San Francisco
22 VINE TERRACE ,San Francisco
23 BALBOA ST  ,San Francisco
23 PRESIDIO TERRACE ,San Francisco
23 WOOD ST  ,San Francisco
24 ELLIS ST  ,San Francisco
25 BELGRAVE AV  ,San Francisco
25 DRUMM ST  ,San Francisco
25 GALILEE LA  ,San Francisco
25 LUCERNE ST  ,San Francisco
25 PRIEST ST  ,San Francisco
25 SANCHEZ ST  ,San Francisco
25 SCENIC WY  ,San Francisco
26 3RD ST  ,San Francisco
26 HUGO ST  ,San Francisco
27 GRAYSTONE TERRACE ,San Francisco
28 3RD ST  ,San Francisco
28 MIGUEL ST  ,San Francisco
28 MINERVA ST  ,San Francisco
29 GUY PL  ,San Francisco
29 PARK HILL AV ,San Francisco
30 MINERVA ST  ,San Francisco
30 VAN NESS AV ,San Francisco
31 PAGE ST  ,San Francisco
31 PARNASSUS AV  ,San Francisco
31 PRESIDIO TERRACE ,San Francisco
31 PRIEST ST  ,San Francisco
31 VALLEY ST  ,San Francisco
32 3RD ST  ,San Francisco
32 LUNDY'S LN  ,San Francisco
32 MINERVA ST  ,San Francisco
32 PLEASANT ST  ,San Francisco
32 TERRA VISTA AV ,San Francisco
33 ALVARADO ST  ,San Francisco
34 COLUMBUS AV  ,San Francisco
34 JOICE ST  ,San Francisco
34 MINERVA ST  ,San Francisco
35 HOLLY PARK CR ,San Francisco
35 LUCERNE ST  ,San Francisco
35 WOODWARD ST  ,San Francisco
35 ZOE ST  ,San Francisco
36 HOFF ST  ,San Francisco
36 TERRA VISTA AV ,San Francisco
37 MAGNOLIA ST  ,San Francisco
37 MIGUEL ST  ,San Francisco
37 MIRABEL AV  ,San Francisco
37 RAYCLIFF TERRACE ,San Francisco
37 RAYCLIFF TER/2799 BR ,San Francisco
