Address,City
    ,San Francisco
 MARKET ST  ,San Francisco
 STOCKTON ST  ,San Francisco
1 HARRISON ST  ,San Francisco
5 VILLA TERRACE ,San Francisco
10 UNITED NATIONS PZ ,San Francisco
11 MAIDEN LN  ,San Francisco
16 LAGUNA ST  ,San Francisco
17 GRANT AV  ,San Francisco
30 MASON ST  ,San Francisco
33 POWELL ST  ,San Francisco
36 2ND ST  ,San Francisco
45 MASON ST  ,San Francisco
45 POWELL ST  ,San Francisco
48 GOLDEN GATE AV ,San Francisco
48 STOCKTON ST  ,San Francisco
50 GLENDALE ST  ,San Francisco
50 LAGUNA ST  ,San Francisco
51 GRANT AV  ,San Francisco
55 HERMANN ST  ,San Francisco
59 LUPINE AV  ,San Francisco
62 TURK ST  ,San Francisco
66 GEARY ST  ,San Francisco
70 22ND AV  ,San Francisco
76 1ST ST  ,San Francisco
77 9TH ST  ,San Francisco
77 NEW MONTGOMERY ST ,San Francisco
78 BUCHANAN ST  ,San Francisco
80 GEARY ST  ,San Francisco
81 FRANK NORRIS PL ,San Francisco
88 1ST ST  ,San Francisco
96 CRESTLINE DR  ,San Francisco
100 BRODERICK ST  ,San Francisco
100 GRANT AV  ,San Francisco
100 POWELL ST  ,San Francisco
101 FREMONT ST  ,San Francisco
110 GARDENSIDE DR  ,San Francisco
111 MASON ST  ,San Francisco
117 POST ST  ,San Francisco
120 POWELL ST  ,San Francisco
121 O'FARRELL ST  ,San Francisco
121 SPEAR STREET  ,San Francisco
124 TURK ST  ,San Francisco
126 POST ST  ,San Francisco
130 MONTGOMERY ST  ,San Francisco
131 OAK ST  ,San Francisco
132 2ND ST  ,San Francisco
132 JONES ST  ,San Francisco
135 POST ST  ,San Francisco
137 NEW MONTGOMERY ST ,San Francisco
140 SANSOME ST  ,San Francisco
144 EDDY ST  ,San Francisco
145 GUERRERO ST  ,San Francisco
146 MCALLISTER ST  ,San Francisco
150 4TH ST  ,San Francisco
150 HAIGHT ST  ,San Francisco
150 HAYES ST  ,San Francisco
150 POST ST  ,San Francisco
150 SITUS TO BE ASSIGNEDST,San Francisco
150 STOCKTON ST  ,San Francisco
151 POTRERO AV  ,San Francisco
155 HYDE ST  ,San Francisco
155 TURK ST  ,San Francisco
156 2ND ST  ,San Francisco
161 TURK ST  ,San Francisco
165 O'FARRELL ST  ,San Francisco
166 TOWNSEND ST  ,San Francisco
168 SUTTER ST  ,San Francisco
171 2ND ST  ,San Francisco
172 6TH ST  ,San Francisco
175 TURK ST  ,San Francisco
180 O'FARRELL ST  ,San Francisco
180 SUTTER ST  ,San Francisco
181 OFARRELL ST  ,San Francisco
185 BERRY ST  ,San Francisco
185 POST ST  ,San Francisco
195 25TH AV  ,San Francisco
200 CALIFORNIA ST  ,San Francisco
200 KING ST  ,San Francisco
201 EDDY ST  ,San Francisco
201 KEARNY ST  ,San Francisco
201 LEAVENWORTH ST  ,San Francisco
220 GRANT AV  ,San Francisco
221 PINE ST  ,San Francisco
222 LEAVENWORTH ST  ,San Francisco
225 HYDE ST  ,San Francisco
230 CALIFORNIA ST  ,San Francisco
231 SANSOME ST  ,San Francisco
238 EDDY ST  ,San Francisco
239 GRANT AV  ,San Francisco
240 JONES ST  ,San Francisco
245 LEAVENWORTH ST  ,San Francisco
246 KEARNY ST  ,San Francisco
246 MCALLISTER ST  ,San Francisco
248 TAYLOR ST  ,San Francisco
249 EDDY ST  ,San Francisco
250 STOCKTON ST  ,San Francisco
250 SUTTER ST  ,San Francisco
250 TAYLOR ST  ,San Francisco
251 GEARY ST  ,San Francisco
251 POST ST  ,San Francisco
255 12TH ST  ,San Francisco
255 FREMONT ST  ,San Francisco
255 STEINER ST  ,San Francisco
265 FELL ST  ,San Francisco
274 BRANNAN ST  ,San Francisco
277 GOLDEN GATE AV ,San Francisco
278 POST ST  ,San Francisco
281 TURK ST  ,San Francisco
290 LOMBARD ST  ,San Francisco
300 16TH AV  ,San Francisco
300 BUCHANAN ST  ,San Francisco
300 MASON ST  ,San Francisco
301 BRANNAN ST  ,San Francisco
301 ELLIS ST  ,San Francisco
301 MISSION ST  ,San Francisco
305 HYDE ST  ,San Francisco
312 SUTTER ST  ,San Francisco
317 LEAVENWORTH ST  ,San Francisco
318 TURK ST  ,San Francisco
322 EDDY ST  ,San Francisco
322 ELLIS ST  ,San Francisco
336 JUDAH ST  ,San Francisco
340 EDDY ST  ,San Francisco
340 HAYES ST  ,San Francisco
344 JONES ST  ,San Francisco
347 EDDY ST  ,San Francisco
349VHERMANN ST   ,San Francisco
355 BERRY ST  ,San Francisco
355 BUENA VISTA EAST AV,San Francisco
355 EDDY ST  ,San Francisco
359 HYDE ST  ,San Francisco
365 MAIN ST  ,San Francisco
366 TURK ST  ,San Francisco
375 EDDY ST  ,San Francisco
385 EDDY ST  ,San Francisco
387 ELLIS ST  ,San Francisco
401 HYDE ST  ,San Francisco
401 O'FARRELL ST  ,San Francisco
